1-call@20,F1@20,L,NDCG@20,Prec@20,Rec@20,SizeOfGroup,T,Time consuming,rt
0.078380264,0.007653194,1,0.027271412,0.0041772192,0.05973771,0,100,130,0.001
0.0760575,0.0074379398,1,0.027045406,0.004055911,0.058747575,0,500,355,0.001
0.07141198,0.0070504374,1,0.026263762,0.0038365263,0.05638831,0,1000,582,0.001
0.08836813,0.008635731,1,0.031156946,0.004719228,0.06709476,0,100,97,0.01
0.091981314,0.009079264,1,0.033609178,0.0049528065,0.071468785,0,500,306,0.01
0.09154257,0.009054301,1,0.033378992,0.004941192,0.07119168,0,1000,571,0.01
0.06403077,0.006062157,1,0.018209284,0.003313882,0.04675242,0,100,100,0.1
0.075283244,0.007301173,1,0.02419301,0.004009455,0.054518662,0,500,346,0.1
0.08867783,0.008607505,1,0.030825773,0.0047179377,0.06548021,0,1000,581,0.1
0.08374842,0.008145824,2,0.029138839,0.0044417726,0.06416817,0,100,114,0.001
0.07551552,0.0074373377,2,0.028197842,0.0040520406,0.05885321,0,500,370,0.001
0.0717733,0.007087785,2,0.026410524,0.0038558838,0.05656623,0,1000,686,0.001
0.08829071,0.008652071,2,0.030689932,0.0047218096,0.067680284,0,100,107,0.01
0.0913361,0.008965217,2,0.032688152,0.004884414,0.07092255,0,500,357,0.01
0.092471674,0.009151509,2,0.03383811,0.0049889414,0.072223835,0,1000,654,0.01
0.06774718,0.0064369477,2,0.019755261,0.0035268136,0.048902724,0,100,121,0.1
0.08540016,0.008282412,2,0.02852296,0.004533398,0.06338888,0,500,390,0.1
0.090484425,0.008779563,2,0.031115787,0.004806983,0.06754328,0,1000,628,0.1
0.08271608,0.0081399195,3,0.029351829,0.0044404785,0.06380875,0,100,122,0.001
0.07481869,0.0073902095,3,0.027310122,0.0040275175,0.058497064,0,500,458,0.001
0.07138617,0.007070151,3,0.026192477,0.0038455587,0.056567024,0,1000,802,0.001
0.08436782,0.008283225,3,0.029389294,0.004520492,0.06464408,0,100,113,0.01
0.08720675,0.00860229,3,0.031619325,0.004683092,0.06824433,0,500,430,0.01
0.08800682,0.008720107,3,0.032149848,0.0047553596,0.06894474,0,1000,804,0.01
0.06591478,0.006283681,3,0.020557083,0.0034532528,0.046896018,0,100,127,0.1
0.08312902,0.008123269,3,0.028357983,0.004445642,0.06228168,0,500,469,0.1
0.09014892,0.008756748,3,0.030739158,0.0047927867,0.0673039,0,1000,744,0.1
