1-call@20,F1@20,L,NDCG@20,Prec@20,Rec@20,SizeOfGroup,T,Time consuming,rt
0.0743913,0.0072861407,1,0.027765337,0.0039360686,0.06193212,0,100,25,0.001
0.075931095,0.0076567857,1,0.030332608,0.004133354,0.06511348,0,500,109,0.001
0.07391012,0.007593771,1,0.028979734,0.0041189184,0.06334029,0,1000,201,0.001
0.048407275,0.0046332227,1,0.015488169,0.002492532,0.039737113,0,100,27,0.01
0.081994034,0.008072331,1,0.031597693,0.004349883,0.06982914,0,500,118,0.01
0.082571454,0.008159497,1,0.03297868,0.004402812,0.06998122,0,1000,211,0.01
0.012029641,0.0011604691,1,0.0032715814,0.0006255419,0.009902114,0,100,27,0.1
0.038976036,0.003702655,1,0.012445665,0.0019969177,0.031536374,0,500,106,0.1
0.041381966,0.0039799223,1,0.01306729,0.002146083,0.03394257,0,1000,195,0.1
0.08305264,0.00838959,2,0.030888703,0.0045519792,0.069623664,0,100,25,0.001
0.081897795,0.008431848,2,0.03170064,0.00457604,0.0704,0,500,125,0.001
0.07891445,0.008076869,2,0.02975971,0.0043835677,0.06716006,0,1000,247,0.001
0.056491196,0.0054196385,2,0.01897901,0.0029159696,0.046552688,0,100,31,0.01
0.08468867,0.008434463,2,0.031918935,0.004551978,0.07247741,0,500,127,0.01
0.08266769,0.008388796,2,0.031713285,0.0045375447,0.070670485,0,1000,233,0.01
0.013569435,0.001277962,2,0.0046330797,0.0006832844,0.011355982,0,100,29,0.1
0.038687326,0.0037363742,2,0.012624259,0.0020209772,0.03095253,0,500,118,0.1
0.042055625,0.0040612607,2,0.014014413,0.0021942009,0.034083717,0,1000,223,0.1
0.082860164,0.0083497595,3,0.030932914,0.0045375447,0.06974898,0,100,32,0.001
0.08237898,0.008472915,3,0.031067828,0.0046097236,0.07019133,0,500,139,0.001
0.07833702,0.008075937,3,0.028958946,0.00438838,0.067785285,0,1000,253,0.001
0.061110575,0.0059060766,3,0.020825656,0.0031758065,0.050981384,0,100,33,0.01
0.082186505,0.008229846,3,0.030016998,0.0044509317,0.07011603,0,500,143,0.01
0.075931095,0.007908135,3,0.02974885,0.004301768,0.065931775,0,1000,259,0.01
0.013569435,0.001286258,3,0.0043118168,0.0006880963,0.011323903,0,100,31,0.1
0.03993841,0.0038047403,3,0.013104463,0.002054659,0.031886037,0,500,138,0.1
0.04359542,0.0041515375,3,0.01419031,0.0022423186,0.034891307,0,1000,258,0.1
