1-call@20,F1@20,L,NDCG@20,Prec@20,Rec@20,SizeOfGroup,T,Time consuming,rt
0.13376957,0.013179552,1,0.04754905,0.007189817,0.10874004,0,100,141,0.001
0.12793009,0.012610251,1,0.046630368,0.0068646953,0.1051077,0,500,537,0.001
0.12701897,0.01249733,1,0.046827193,0.006798427,0.104453,0,1000,1083,0.001
0.12151081,0.011923333,1,0.042412747,0.006512648,0.0976444,0,100,145,0.01
0.15315166,0.015293306,1,0.0557777,0.008345352,0.12599534,0,500,517,0.01
0.15650626,0.015641939,1,0.05753558,0.00853173,0.12927039,0,1000,1015,0.01
0.036734864,0.0034504323,1,0.011893443,0.0018926368,0.028050171,0,100,143,0.1
0.06779591,0.0064829746,1,0.022578685,0.003553407,0.052192777,0,500,518,0.1
0.070819184,0.0067625404,1,0.02443174,0.0037066494,0.054660924,0,1000,1018,0.1
0.1448273,0.014243068,2,0.053530093,0.007751016,0.11894473,0,100,154,0.001
0.13724841,0.013541391,2,0.05068152,0.00736791,0.11323571,0,500,594,0.001
0.13613021,0.013381006,2,0.049487133,0.0072788615,0.111750916,0,1000,1186,0.001
0.12643917,0.012446808,2,0.04503581,0.0067942822,0.10226833,0,100,137,0.01
0.15443552,0.015375443,2,0.056632202,0.008384696,0.12707359,0,500,582,0.01
0.15990226,0.015937276,2,0.059183575,0.008687041,0.13186604,0,1000,1222,0.01
0.046218835,0.004329602,2,0.017108964,0.0023647575,0.03592576,0,100,149,0.1
0.075043485,0.007169869,2,0.026611222,0.0039137364,0.059336927,0,500,574,0.1
0.07599603,0.0072808936,2,0.026899813,0.0039800024,0.059716936,0,1000,1109,0.1
0.14250807,0.0140274465,3,0.05269404,0.007628839,0.11738151,0,100,163,0.001
0.13919489,0.013755542,3,0.051025208,0.007481806,0.11569306,0,500,666,0.001
0.13078772,0.012922991,3,0.04772448,0.007030361,0.108423494,0,1000,1364,0.001
0.12461691,0.012225468,3,0.04431947,0.0066596786,0.10147137,0,100,160,0.01
0.14967282,0.014869865,3,0.05407929,0.008098916,0.12355878,0,500,684,0.01
0.15356581,0.015259565,3,0.056036253,0.008316358,0.12673618,0,1000,1348,0.01
0.04406527,0.0041339733,3,0.012833419,0.0022653637,0.033585988,0,100,164,0.1
0.07148182,0.006814791,3,0.024181481,0.003717004,0.0569838,0,500,651,0.1
0.06936967,0.006622318,3,0.024275726,0.0036113898,0.055105556,0,1000,1331,0.1
